#  
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2004-09-08T09:47:16
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml552

#RESOURCE=9010   
#Name: IX/10A   
#Title:	ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)   
#Table	IX_10A_1rxs:      
#Name: IX/10A/1rxs     
#Title:	The 1RXS catalogue               
#Column	_Glon	(F6.2)	       Galactic longitude (computed by VizieR, not part of the original data)     	[ucd=POS_GAL_LON]     
#Column	_Glat	(F6.2)	       Galactic latitude (computed by VizieR, not part of the original data)     	[ucd=POS_GAL_LAT]     
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     	[ucd=RECORD]     
#Column	1RXS	(A21)	       ROSAT All-Sky Survey Catalogue source name (1)        (link)     	[ucd=ID_MAIN]     
#Column	n_1RXS	(A1)	       [*] Names modified from previous version     	[ucd=NOTE]     
#Column	RAJ2000	(F9.5)	       Right ascension (J2000), decimal degrees     	[ucd=POS_EQ_RA_MAIN]     
#Column	DEJ2000	(F9.5)	       Declination (J2000), decimal degrees     	[ucd=POS_EQ_DEC_MAIN]     
#Column	PosErr	(I2)	       ? Total positional error (including 6" systematic error)     	[ucd=ERROR]     
#Column	ScrFlags	(A5)	       [T_] screening flags (2)     	[ucd=CODE_MISC]     
#Column	NewFlag	(A4)	       [T._] 'new data' flags (3)            	[ucd=CODE_MISC]     
#Column	Count	(E9.2)	       ? Source countrate (4)     	[ucd=PHOT_COUNT-RATE_X]     
#Column	e_Count	(E9.2)	       ? Error on Count (4)     	[ucd=ERROR]     
#Column	bgCt	(E9.2)	       ? Background countrate (4)     	[ucd=INST_BACKGROUND]     
#Column	ExpTime	(I6)	       ? Exposure time     	[ucd=TIME_EXPTIME]     
#Column	HR1	(F5.2)	       [-1/1]? Hardness ratio 1 (5)     	[ucd=SPECT_HARDNESS-RATIO]     
#Column	e_HR1	(F5.2)	       ? Error on HR1 (6)     	[ucd=ERROR]     
#Column	HR2	(F5.2)	       [-1/1]? hardness ratio 2 (5)     	[ucd=SPECT_HARDNESS-RATIO]     
#Column	e_HR2	(F5.2)	       ? Error on HR2 (6)     	[ucd=ERROR]     
#Column	Extent	(I5)	       Source extent, by which the source image exceeds the point spread function.     	[ucd=EXTENSION_DIAM]     
#Column	L_Extent	(I4)	       ? Likelihood of source extent (7)     	[ucd=STAT_LIKELIHOOD]     
#Column	Ldetect	(I4)	       ? Likelihood of source detection algorithm (7)     	[ucd=STAT_LIKELIHOOD]     
#Column	ExtRad	(I5)	       ? Extraction radius     	[ucd=REDUCT_EXTR-RAD]     
#Column	PrioFlags	(A6)	       [01] priority flags (8)     	[ucd=CODE_MISC]     
#Column	PHA	(A1)	       [ABCDb] PHA range of best detection (9)     	[ucd=CODE_MISC]     
#Column	VigFactor	(F5.2)	       ? Vignetting factor     	[ucd=INST_CORR-FACTOR]     
#Column	IncDate	(A10)	       ? Date when source was included (10)     	[ucd=TIME_DATE]     
#Column	UpdDate	(A10)	       ? Date when source properties changed (11)     	[ucd=TIME_DATE]     
#Column	Ncand	(I3)	       Number of identification candidates in the correlation catalogue     	[ucd=NUMBER]     
#Column	SASS	(I8)	       Identification number of SASS field (12)     	[ucd=ID_FIELD]     
#Column	---	(A1)	       original useless data field     	[ucd=]
#Column	MASOL	(I4)	       SASS source number (MASOL number) in SASS field (mainly for internal use)     	[ucd=ID_NUMBER]

_Glon;_Glat;recno;1RXS;n_1RXS;RAJ2000;DEJ2000;PosErr;ScrFlags;NewFlag;Count;e_Count;bgCt;ExpTime;HR1;e_HR1;HR2;e_HR2;Extent;L_Extent;Ldetect;ExtRad;PrioFlags;PHA;VigFactor;IncDate;UpdDate;Ncand;SASS;---;MASOL
005.12;-78.06;      19;1RXS J000129.7-320837; ;000.37375;-32.14375;12;_____;__..; 1.37e-01; 2.56e-02; 1.23e-03;   316;-0.75; 0.12;-0.28; 0.55;    0;    ;  56;  300;110011;b; 0.73;1996-06-14;          ;  8;33023001;-;0046
107.66;-40.16;      20;1RXS J000132.8+211339; ;000.38667;+21.22764;12;_____;__..; 9.07e-02; 1.94e-02; 8.44e-04;   290; 0.68; 0.19; 0.18; 0.23;    0;    ;  52;  300;111100;b; 0.73;1996-06-14;          ; 21;33013001;-;0051
075.15;-73.73;      21;1RXS J000139.7-154038; ;000.41542;-15.67736;30;_____;__..; 9.00e-02; 1.94e-02; 9.44e-04;   336; 0.95; 0.12; 0.15; 0.21;   59;   5;  28;  300;111100;b; 0.70;1996-06-14;          ;  9;33020001;-;0051
115.24;-09.92;      22;1RXS J000143.9+521246; ;000.43292;+52.21278;12;_____;__..; 8.36e-02; 1.49e-02; 8.22e-04;   490;-0.38; 0.15;-0.24; 0.31;   18;   2;  58;  300;111011;b; 0.74;1996-06-14;          ;  5;33008001;-;0030
103.92;-49.75;      23;1RXS J000150.9+111705; ;000.46208;+11.28486;10;_____;__..; 7.75e-02; 1.48e-02; 6.04e-04;   429; 0.43; 0.17; 0.06; 0.23;    7;   1;  64;  300;111110;b; 0.73;1996-06-14;          ;  6;33015001;-;0071
310.27;-49.29;      24;1RXS J000154.2-670749; ;000.47583;-67.13028;11;_____;__..; 2.42e-01; 3.02e-02; 1.34e-03;   322; 0.66; 0.10; 0.29; 0.13;   23;   4; 150;  300;111110;b; 0.69;1996-06-14;          ;  3;33029001;-;0061
104.29;-49.01;      25;1RXS J000155.1+120323; ;000.47958;+12.05639;24;_____;__..; 7.08e-02; 1.30e-02; 5.03e-04;   430; 0.80; 0.13; 0.61; 0.17;   58;  14;  51;  300;111100;b; 0.70;1996-06-14;          ; 11;33015001;-;0048
027.47;-79.01;      26;1RXS J000156.7-273748; ;000.48625;-27.63000;19;_____;__..; 6.74e-02; 1.71e-02; 1.14e-03;   316; 0.39; 0.22;-0.25; 0.27;   22;   2;  24;  300;111110;b; 0.71;1996-06-14;          ; 10;33022001;-;0065
085.59;-69.71;      27;1RXS J000202.5-103030; ;000.51042;-10.50833;12;_____;__..; 6.10e-02; 1.62e-02; 1.07e-03;   324;-0.12; 0.26;-0.14; 0.40;    0;    ;  31;  300;111111;b; 0.74;1996-06-14;          ; 10;33019001;-;0055
118.21;+05.00;      28;1RXS J000209.4+672503; ;000.53917;+67.41764;27;_____;__..; 9.76e-02; 1.68e-02; 9.04e-04;   462; 1.00; 0.12; 0.77; 0.16;   85;  21;  33;  300;111100;b; 0.71;1996-06-14;          ; 44;33005001;-;0060
310.07;-48.99;      29;1RXS J000217.5-672713; ;000.57292;-67.45375;15;_____;__..; 9.20e-02; 2.03e-02; 1.34e-03;   311;-0.11; 0.20; 0.05; 0.30;    0;    ;  34;  300;111111;b; 0.73;1996-06-14;          ;  4;33029001;-;0065
099.85;-57.31;      30;1RXS J000226.6+032105; ;000.61083;+03.35153; 8;_____;__..; 2.26e-01; 2.67e-02; 1.04e-03;   402; 0.22; 0.11; 0.34; 0.13;    0;    ; 188;  300;111111;b; 0.72;1996-06-14;          ; 13;33016001;-;0149
102.82;-52.46;      31;1RXS J000231.0+082931; ;000.62917;+08.49208;12;_____;__..; 7.71e-02; 1.57e-02; 8.32e-04;   415;-0.47; 0.18; 0.30; 0.39;    9;   1;  43;  300;111111;b; 0.72;1996-06-14;          ; 18;33015001;-;0151
107.10;-42.67;      32;1RXS J000232.0+184125; ;000.63333;+18.69028;17;_____;__..; 5.42e-02; 1.40e-02; 7.51e-04;   384;-0.13; 0.24;-0.73; 0.63;    0;    ;  29;  300;111111;b; 0.71;1996-06-14;          ; 10;33014001;-;0029
005.35;-78.32;      33;1RXS J000233.4-320017; ;000.63917;-32.00472;18;_____;__..; 5.26e-02; 1.61e-02; 1.18e-03;   316;-1.00; 0.12;-0.09; 4.73;    0;    ;  15;  300;110011;b; 0.73;1996-06-14;          ; 12;33023001;-;0042
089.18;-67.87;      34;1RXS J000235.9-081518; ;000.64958;-08.25500;13;_____;__..; 7.90e-02; 1.77e-02; 1.11e-03;   337; 0.01; 0.23;-0.13; 0.32;    0;    ;  34;  300;111111;b; 0.76;1996-06-14;          ;  3;33018001;-;0153
035.81;-79.10;      35;1RXS J000254.5-260339; ;000.72708;-26.06097;10;_____;__..; 1.33e-01; 2.33e-02; 1.10e-03;   314;-0.37; 0.15; 0.00; 0.30;   11;   1;  71;  300;111111;b; 0.75;1996-06-14;          ; 15;33022001;-;0029
119.04;+08.86;      36;1RXS J000256.6+712207; ;000.73583;+71.36861; 9;_____;__..; 8.47e-02; 1.39e-02; 1.16e-03;   582; 1.00; 0.04; 0.32; 0.13;   13;   1;  94;  300;111100;b; 0.74;1996-06-14;          ; 10;33004001;-;0156
113.93;-17.35;      37;1RXS J000256.7+444027; ;000.73625;+44.67417;12;_____;__..; 7.05e-02; 1.58e-02; 7.40e-04;   350; 0.76; 0.18; 0.25; 0.22;   18;   1;  54;  300;111100;b; 0.76;1996-06-14;          ;  5;33009001;-;0052
112.95;-21.97;      38;1RXS J000259.6+395743; ;000.74833;+39.96208;17;_____;__..; 5.67e-02; 1.48e-02; 6.64e-04;   347;-0.90; 0.14; 1.00; 2.62;   15;   1;  27;  300;010011;b; 0.77;1996-06-14;          ; 10;33010001;-;0058
093.99;-64.45;      39;1RXS J000306.3-041932; ;000.77625;-04.32556;19;_____;__..; 7.72e-02; 1.72e-02; 1.04e-03;   372;-0.43; 0.19; 0.21; 0.40;   37;   2;  32;  300;111111;b; 0.77;1996-06-14;          ;  0;33018001;-;0051
069.47;-75.67;      40;1RXS J000307.6-180550; ;000.78167;-18.09722; 7;_____;__..; 3.19e-01; 3.43e-02; 9.15e-04;   315;-0.07; 0.10;-0.07; 0.15;    0;    ; 279;  300;111111;b; 0.77;1996-06-14;          ;  7;33020001;-;0134
108.36;-39.54;      41;1RXS J000308.6+215728; ;000.78583;+21.95778;13;_____;__..; 9.64e-02; 1.97e-02; 7.37e-04;   293; 1.00; 0.12; 0.52; 0.18;    0;    ;  57;  300;111100;b; 0.68;1996-06-14;          ; 19;33013001;-;0039
092.16;-66.04;      42;1RXS J000311.5-060521; ;000.79792;-06.08917;15;_____;__..; 1.97e-01; 2.66e-02; 1.09e-03;   356; 0.76; 0.10; 0.24; 0.13;   48;  30;  90;  300;111110;b; 0.73;1996-06-14;          ;  8;33018001;-;0095
349.32;-76.49;      43;1RXS J000312.3-355541; ;000.80125;-35.92820;28;_TT__;TT..; 5.21e-01; 5.84e-02; 1.53e-03;   141; 0.61; 0.19; 0.36; 0.21;  101;  37;  33;  450;111111;b; 0.69;1996-06-14;          ; 35;33023001;-;0166
025.80;-79.30;      44;1RXS J000316.8-275627; ;000.82000;-27.94097;12;_____;__..; 1.13e-01; 2.19e-02; 1.14e-03;   315;-0.43; 0.17;-0.24; 0.38;    0;    ;  50;  300;111111;b; 0.74;1996-06-14;          ;  8;33022001;-;0073
318.94;-62.82;      45;1RXS J000320.4-524727; ;000.83500;-52.79083; 9;_____;__..; 3.07e-01; 5.07e-02; 1.46e-03;   138;-0.18; 0.16;-0.09; 0.25;    0;    ;  96;  300;111111;b; 0.77;1996-06-14;          ;  1;33026001;-;0091
064.92;-76.64;      46;1RXS J000325.6-193322; ;000.85667;-19.55611;17;_____;__..; 5.06e-02; 1.50e-02; 1.02e-03;   312; 0.08; 0.32;-0.61; 0.80;   19;   3;  19;  300;111111;b; 0.76;1996-06-14;          ;  4;33020001;-;0175
107.28;-43.28;      47;1RXS J000342.8+180828; ;000.92833;+18.14125;15;_____;__..; 1.03e-01; 1.80e-02; 7.70e-04;   374; 0.81; 0.13; 0.15; 0.19;   29;   5;  66;  300;111101;b; 0.73;1996-06-14;          ;  9;33014001;-;0034
099.61;-58.64;      48;1RXS J000350.4+020340; ;000.96000;+02.06125;19;_____;__..; 2.05e-01; 2.61e-02; 9.55e-04;   362; 0.79; 0.13; 0.33; 0.14;   73;  33;  82;  300;111100;b; 0.73;1996-06-14;          ; 18;33017001;-;0030
113.90;-18.44;      49;1RXS J000359.1+433600; ;000.99625;+43.60000; 9;_____;__..; 3.20e-01; 3.16e-02; 8.11e-04;   373;-1.00; 0.02; 1.00; 7.77;    0;    ; 215;  300;110111;b; 0.74;1996-06-14;          ; 13;33009001;-;0076
114.30;-16.64;      50;1RXS J000409.2+452618; ;001.03833;+45.43847;11;_____;__..; 1.35e-01; 2.09e-02; 7.97e-04;   343; 1.00; 0.04; 0.25; 0.15;   12;   1;  99;  300;111100;b; 0.72;1996-06-14;          ;  5;33009001;-;0037

